Project Name
Project\Globitel\SMS_Platform [IDSM4205]
Projekt\Amplitiv\Orange SOR&SMSW&CB [IDSM4502]
Support\HT\HT SOR SMSW\2026 [IDSM4566]
Support\T-Mobile\TMPL SOR SMSW\2026 [IDSM4567]
Projekt\TS\SOR&BS [IDSM4495]
Projekt\Ampltiv\Deutsche_HSOR [IDSM4180]
CRy\T-mobile\SORSMSW\2025_2026 [IDSM4410]
Support\Comfone\SoR_SMSW\2026 [IDSM4548]
Support\O2_CZ_SK\SOR\2026 [IDSM4572]
Projekt\Globitel\SMS_Platform\Retail [IDSM4472]
Projekt\Reach\HT SMSW [IDSM4509]
Projekt\Roaming Service Delivery 2025 [IDSM4429]
Projekt\Al Madar\SOR_SMSW_CC [IDSM4253]
Projekt\OINIS\SOR_RC [IDSM4554]
Projekt\DT Support [IDSM4261]
Support\Orange\RBT\2026 [IDSM4563]
Support\Yettel\SOR_SMSW\2026 [IDSM4573]
Support\Telekom-Slovenia\TS SOR\2026 [IDSM4568]
Support\Nova\SOR\2026 [IDSM4571]
Support\TMPL\RBT\VM\2025-2026 [IDSM4501]
Support\DT\DT-ENT\2026 [IDSM4569]
Projekt\Amplitiv\Telekom Romania_USSD GW [IDSM4250]
CRy\Comfone\SORSMSW\2025_2026 [IDSM4427]
